graph_index,n_qubits,n_vertices,n_edges,density,time,trotter_steps,matching_diff,pauli_diff
0,3,8,7,0.25,0.1,1,0.008074072973169488,0.008074072973169508
0,3,8,7,0.25,0.1,3,0.002688977122701392,0.002688977122701708
0,3,8,7,0.25,0.1,5,0.0016132721653345748,0.0016132721653361612
0,3,8,7,0.25,0.1,7,0.0011523148081307158,0.0011523148081314923
0,3,8,7,0.25,0.1,9,0.0008962376644950817,0.0008962376644988589
0,3,8,7,0.25,0.1,11,0.0007332823856226723,0.0007332823856226374
0,3,8,7,0.25,0.1,13,0.0006204682624958502,0.0006204682624959776
0,3,8,7,0.25,0.1,15,0.0005377383732520887,0.0005377383732536125
0,3,8,7,0.25,0.1,17,0.00047447457079718514,0.000474474570800503
0,3,8,7,0.25,0.1,19,0.0004245295877683899,0.0004245295877686528
0,3,8,7,0.25,0.5,1,0.19245694738269428,0.19245694738269437
0,3,8,7,0.25,0.5,3,0.06276675489675598,0.0627667548967564
0,3,8,7,0.25,0.5,5,0.03759574821933176,0.037595748219331857
0,3,8,7,0.25,0.5,7,0.02684148825330691,0.02684148825330895
0,3,8,7,0.25,0.5,9,0.020872677430320376,0.02087267743032115
0,3,8,7,0.25,0.5,11,0.017075974041361918,0.017075974041361956
0,3,8,7,0.25,0.5,13,0.014448087809336334,0.014448087809340057
0,3,8,7,0.25,0.5,15,0.01252123381102004,0.012521233811021297
0,3,8,7,0.25,0.5,17,0.011047886621545459,0.011047886621545298
0,3,8,7,0.25,0.5,19,0.009884787500188735,0.00988478750018893
0,3,8,7,0.25,1.0,1,0.6646932388207961,0.6646932388207961
0,3,8,7,0.25,1.0,3,0.20438049127527982,0.20438049127527969
0,3,8,7,0.25,1.0,5,0.12189369876863647,0.12189369876863647
0,3,8,7,0.25,1.0,7,0.0869236596525758,0.08692365965257752
0,3,8,7,0.25,1.0,9,0.06756149241935515,0.06756149241935598
0,3,8,7,0.25,1.0,11,0.055258603487489025,0.05525860348749178
0,3,8,7,0.25,1.0,13,0.04674802911228528,0.046748029112285955
0,3,8,7,0.25,1.0,15,0.04050991946041043,0.04050991946041169
0,3,8,7,0.25,1.0,17,0.03574106923455749,0.035741069234560434
0,3,8,7,0.25,1.0,19,0.03197697965418206,0.03197697965418389
1,3,8,8,0.2857142857142857,0.1,1,0.013049639114480963,0.011684657169231798
1,3,8,8,0.2857142857142857,0.1,3,0.004348092157416246,0.0038914967082269956
1,3,8,8,0.2857142857142857,0.1,5,0.002608769655895409,0.0023347349964353238
1,3,8,8,0.2857142857142857,0.1,7,0.001863390047036021,0.0016676357651277144
